Empresa;Vendas;Rentabilidade (%do PL);Liquidezgeral;Endividamentogeral
PETROBRAS;47855158;21,9;1,0756;52,5
PETROBRAS DISTRIBUIDORA;13531695;10,5;1,2175;54,2
TELEMAR;7696136;7,8;0,4218;56,0
TELEFONICA;7256514;14,1;0,6093;38,1
CBB/AMBEV;7055807;10,6;0,6162;66,1
IPIRANGA;6405875;16,6;1,2257;51,3
VALE DO RIO DOCE;5543249;17,5;0,3515;32,1
BUNGE;5403555;18,9;0,8971;71,7
CARGILL;5095290;21,0;0,7832;86,6
BRASIL TELECOM;4951187;5,6;0,6144;57,6
GRUPO PÃO DE AÇÚCAR;4361683;6,3;0,7355;53,6
FIAT;4145717;-39,1;0,9754;68,3
CSN;3993615;25,7;0,4115;70,8
ELETROPAULO METROPOLITANA;3943479;13,4;0,5782;80,2
EMBRAER;3681026;17,5;1,2055;66,3
CEMIG;3642252;16,9;0,7651;54,8
USIMINAS;3466890;36,0;0,8625;46,0
SOUZA CRUZ;2877280;25,6;0,9593;50,4
COPESUL;2808485;17,8;0,692;45,6
CORREIOS;2771797;15,0;1,0011;54,4
SADIA;2710150;15,0;0,9791;64,0
REFAP;2675925;15,4;0,4027;67,3
COSIPA;2590105;47,9;0,4671;68,1
BUNGE FERTILIZANTES;2523068;22,6;0,9301;64,0
LIQUIGÁS;2409417;20,7;0,716;76,9
LIGHT - SE SA;2317531;35,7;0,3921;92,8
VIVO - SP;2266802;9,2;0,8689;50,3
CST;2172439;15,6;0,4754;25,8
BASF;2118927;25,8;1,4322;53,8
CPFL - PAULISTA;2082984;11,2;0,7276;71,1
PERDIGÃO AGROINDUSTRIAL;1973497;20,5;0,7912;60,3
FURNAS;1959171;5,9;0,6255;31,1
COPEL DISTRIBUIÇÃO;1934643;15,1;1,0767;62,9
SABESP;1834882;2,4;0,1915;40,8
COAMO;1572882;19,2;1,6714;49,8
CHESF;1542479;10,8;0,253;40,4
PETROQUÍMICA UNIÃO;1529159;27,8;0,6033;54,5
ACESITA;1511887;35,0;0,829;58,7
BELGO SIDERURGIA;1455592;52,5;0,6101;71,7
MAKRO;1358939;15,6;0,8387;63,7
MULTIBRÁS;1346799;-7,8;1,126;44,5
PIRELLI PNEUS;1322626;20,3;0,9784;61,6
DOW BRASIL;1319728;1,9;0,5129;61,3
CONSTRUTORA ODEBRECHT;1306485;6,3;2,0021;46,8
KLABIN;1293548;16,0;0,9328;50,4
ELETRONORTE;1261788;-5,6;0,2174;50,9
PONTO FRIO;1233297;-1,4;1,0896;58,9
IPIRANGA DISTRIBUIDORA;1183548;11,1;1,7914;28,6
OI;1179207;-12,2;0,9043;38,5
COELBA;1157236;13,9;0,8125;57,3